case_id,slice,slice_label,area_cm2,avg_vel_mps,avg_pressure_pa,tke,tef
1,D1,D1,3.0949,0.25232,12452.2,3.29804e-06,552.646
1,D2,D2 (Bend),2.9166,0.276207,12411.0,0.000169396,583.926
1,D3,D3,2.745,0.310541,12278.7,0.000440856,616.261
1,D4,D4,6.4175,0.143666,12316.6,0.000782276,17904.5
1,D5,D5 (Aneurysm Center,12.5664,0.12087,12311.0,0.00203079,6191.38
1,D6,D6,6.1856,0.137187,12333.4,0.00180572,20160.9
1,D7,D7,2.4142,0.323529,12262.4,0.00121761,632.21
1,D8,D8,2.2608,0.343918,12222.6,0.000485478,696.835
2,D1,D1,3.09555,0.252235,12463.6,3.57345e-06,557.6
2,D2,D2,2.91609,0.275767,12422.1,0.000225203,577.673
2,D3,D3,2.74534,0.304261,12289.9,0.00057719,7062.19
2,D4,D4,6.8241700000000005,0.205593,12319.3,0.00199633,8996.76
2,D5,D5,12.5518,0.148789,12307.5,0.00290852,6226.76
2,D6,D6,6.58237,0.210436,12328.4,0.00228985,9563.82
2,D7,D7,2.41498,0.315847,12255.2,0.00136101,7505.32
2,D8,D8,2.25893,0.342883,12221.7,0.000718447,693.919
3,D1,D1,3.09555,0.252056,12462.3,3.57e-06,548.455
3,D2,D2,2.91609,0.275916,12421.4,0.000204657,590.844
3,D3,D3,2.74534,0.283573,12284.0,0.000517476,7260.0
3,D4,D4,6.8241700000000005,0.22257,12280.1,0.00206178,9157.88
3,D5,D5,12.5518,0.157289,12267.1,0.00268472,6383.9
3,D6,D6,6.58237,0.236223,12291.5,0.00215439,8838.04
3,D7,D7,2.41498,0.312416,12251.7,0.00172835,7728.56
3,D8,D8,2.25893,0.34271,12220.4,0.000597295,700.486
4,D1,D1,4.09431,0.190956,12325.3,2.06337e-06,491.177
4,D2,D2,3.85718,0.209593,12300.5,0.000274809,503.596
4,D3,D3,3.62532,0.247769,12200.8,0.000811984,562.339
4,D4,D4,6.49185,0.13258,12234.0,0.00085552,9317.32
4,D5,D5,12.552299999999999,0.103164,12232.9,0.00169793,6480.74
4,D6,D6,6.24802,0.127882,12242.7,0.00180433,9591.42
4,D7,D7,3.19069,0.245643,12206.3,0.00147602,561.327
4,D8,D8,2.98799,0.260204,12188.3,0.000724253,619.521
5,D1,D1,4.0943700000000005,0.191107,12336.2,2.05747e-06,470.304
5,D2,D2,3.85731,0.209487,12311.3,0.000308815,522.699
5,D3,D3,3.6257800000000002,0.247308,12208.5,0.000814916,5847.58
5,D4,D4,7.11841,0.179209,12234.6,0.00189542,9787.03
5,D5,D5,12.552200000000001,0.133473,12226.2,0.00270755,6271.59
5,D6,D6,6.85836,0.174845,12239.9,0.00189174,9593.33
5,D7,D7,3.19097,0.241275,12203.7,0.00146828,5148.5
5,D8,D8,2.98793,0.259955,12188.0,0.000727607,585.178
6,D1,D1,4.0943700000000005,0.191211,12321.5,2.06526e-06,457.285
6,D2,D2,3.85731,0.208511,12296.8,0.000257787,498.079
6,D3,D3,3.6257800000000002,0.242113,12188.0,0.000895582,4816.0
6,D4,D4,7.11841,0.153048,12210.5,0.0014246,9848.53
6,D5,D5,12.552200000000001,0.119811,12205.2,0.00242543,6399.49
6,D6,D6,6.85836,0.170137,12214.6,0.00219202,9681.48
6,D7,D7,3.19097,0.238146,12200.3,0.00110081,6057.63
6,D8,D8,2.98793,0.260276,12185.7,0.000927469,586.596
7,D1,D1,5.23261,0.149878,12262.7,2.3356e-06,437.133
7,D2,D2,4.92984,0.165649,12246.7,0.000406138,441.572
7,D3,D3,4.63337,0.210203,12164.0,0.000928015,504.7
7,D4,D4,6.70025,0.129102,12194.0,0.00108928,8184.63
7,D5,D5,12.5525,0.100471,12193.0,0.00193424,6407.48
7,D6,D6,6.43599,0.123162,12198.9,0.0020777,8750.54
7,D7,D7,4.07795,0.193161,12182.0,0.0015071,525.867
7,D8,D8,3.8187300000000004,0.204602,12172.8,0.000736467,501.174
8,D1,D1,5.23263,0.149785,12265.8,2.33313e-06,429.57
8,D2,D2,4.9299800000000005,0.166159,12249.8,0.00044164,450.549
8,D3,D3,4.6331999999999995,0.21217,12165.1,0.00102689,4574.25
8,D4,D4,7.54892,0.155959,12190.4,0.00178274,7772.89
8,D5,D5,12.552100000000001,0.119157,12184.8,0.00269643,6208.73
8,D6,D6,7.26166,0.14621,12194.7,0.00183577,7378.37
8,D7,D7,4.0778,0.191317,12182.5,0.00143099,1561.95
8,D8,D8,3.81879,0.204865,12172.5,0.000740741,517.246
9,D1,D1,5.23263,0.149896,12257.4,2.34e-06,414.24
9,D2,D2,4.9299800000000005,0.165624,12241.2,0.000384123,429.218
9,D3,D3,4.6331999999999995,0.208556,12154.4,0.00111594,3332.57
9,D4,D4,7.54892,0.141658,12176.8,0.00178874,7794.49
9,D5,D5,12.552100000000001,0.112584,12171.3,0.00231479,6220.21
9,D6,D6,7.26166,0.150909,12179.8,0.00202793,7264.38
9,D7,D7,4.0778,0.190004,12177.3,0.00179664,2932.84
9,D8,D8,3.81879,0.204693,12172.8,0.000919829,526.857
10,D1,D1,3.09549,0.228414,12390.7,2.85e-06,11891.1
10,D2,D2,2.91594,0.248734,12342.2,0.000228976,11797.4
10,D3,D3,2.74094,0.288709,12203.4,0.00100832,12728.6
10,D4,D4,2.65016,0.255398,12242.6,0.00155238,12137.4
10,D5,D5,2.57456,0.257389,12250.3,0.00126595,12570.5
10,D6,D6,2.49853,0.266442,12246.4,0.00112595,12792.6
10,D7,D7,2.4122600000000003,0.272846,12236.6,0.000992897,13353.1
10,D8,D8,2.2589,0.293734,12211.0,0.000787751,13036.9
11,D1,D1,5.23214,0.174622,12293.8,1.72e-06,9761.92
11,D2,D2,4.92927,0.191271,12261.8,0.000375499,10515.4
11,D3,D3,4.63342,0.228457,12151.0,0.000856153,12752.5
11,D4,D4,4.4799999999999995,0.193846,12185.9,0.00127041,12099.6
11,D5,D5,4.352390000000001,0.192523,12196.7,0.00133387,12298.7
11,D6,D6,4.22401,0.201328,12199.9,0.00117147,11608.5
11,D7,D7,4.07787,0.209356,12196.8,0.00107521,11444.6
11,D8,D8,3.8188700000000004,0.222227,12183.4,0.000820178,11894.4
12,D1,D1,5.23214,0.136981,12243.5,2.51e-06,9100.0
12,D2,D2,4.92927,0.151161,12222.5,0.000287,9080.0
12,D3,D3,4.63342,0.210149,12125.1,0.000896,11800.0
12,D4,D4,4.4799999999999995,0.161998,12163.5,0.0012,10300.0
12,D5,D5,4.352390000000001,0.156479,12175.9,0.00125,10300.0
12,D6,D6,4.22401,0.160925,12180.1,0.00127153,10152.2
12,D7,D7,4.07787,0.164826,12178.9,0.000905459,10564.4
12,D8,D8,3.8188700000000004,0.176763,12171.1,0.000630975,10610.6
