epoch,lr,monitor,total,velocity,physics,pressure,wss,noslip,inlet,outlet
1,9.939057285945933e-05,8910764.984011173,93882.7890625,406.1761169433594,8909655.0,39.29726791381836,4.779596328735352,408.4723815917969,247.34725952148438,3.911388874053955
2,9.757729755661012e-05,3535320.8774790764,38712.19140625,274.4190673828125,3534532.5,40.61267852783203,4.477663993835449,286.4988708496094,178.84735107421875,3.5218472480773926
3,9.460482294732422e-05,1718094.5842080116,19496.619140625,179.67132568359375,1717532.5,41.98992156982422,4.2335076332092285,195.46786499023438,137.48626708984375,3.235321044921875
4,9.054634122155992e-05,1020895.2863616943,11921.974609375,126.3839111328125,1020456.6875,43.34782028198242,4.014190673828125,142.08993530273438,119.72055053710938,3.0424537658691406
5,8.550178566873411e-05,713339.9632019997,8512.0537109375,99.1280517578125,712975.375,44.30531692504883,3.792285442352295,113.07907104492188,101.30345153808594,2.980025291442871
6,7.959536998847744e-05,541843.9380457401,6612.66552734375,83.3402099609375,541533.25,43.95790100097656,3.5848896503448486,98.51608276367188,78.22105407714844,3.06790828704834
7,7.297252973710758e-05,397705.5180506706,5071.23876953125,70.63233947753906,397436.0625,42.25276565551758,3.4132418632507324,91.93586730957031,57.93058776855469,3.2907485961914062
8,6.579634122155991e-05,294947.62080454826,3972.908203125,60.19583511352539,294710.125,39.75563049316406,3.276782274246216,87.59013366699219,43.21137237548828,3.466050624847412
9,5.824350601949144e-05,227632.95886826515,3233.130859375,52.08118438720703,227419.1875,37.113502502441406,3.1704254150390625,82.79639434814453,35.19409942626953,3.415762186050415
10,5.050000000000001e-05,183124.89342021942,2716.317626953125,45.696800231933594,182929.28125,34.522857666015625,3.0863025188446045,76.82365417480469,32.31427764892578,3.1682779788970947
11,4.275649398050859e-05,153129.39193844795,2336.3662109375,40.379364013671875,152949.84375,32.08584976196289,3.017148494720459,69.70219421386719,31.505001068115234,2.858630895614624
12,3.520365877844011e-05,131463.7884426117,2040.8199462890625,35.997188568115234,131298.875,29.983253479003906,2.957188367843628,62.546417236328125,30.84659767150879,2.5827972888946533
13,2.8027470262892444e-05,114817.28402376175,1806.157958984375,32.463539123535156,114664.9375,28.296689987182617,2.9031243324279785,56.35137176513672,29.9612979888916,2.3705005645751953
14,2.1404630011522593e-05,101730.40621185303,1622.3165283203125,29.683095932006836,101588.078125,26.99095344543457,2.8548905849456787,51.567527770996094,29.012252807617188,2.2193663120269775
15,1.5498214331265904e-05,91698.87036061287,1483.7783203125,27.57477378845215,91564.0859375,25.992755889892578,2.8136425018310547,48.15034484863281,28.13726043701172,2.11564564704895
16,1.0453658778440109e-05,84288.87765240669,1383.2708740234375,26.040441513061523,84159.5625,25.239742279052734,2.7802703380584717,45.817787170410156,27.39157485961914,2.0453362464904785
17,6.3951770526757955e-06,79102.03071260452,1313.630126953125,24.971168518066406,78976.5546875,24.687942504882812,2.754955291748047,44.26540756225586,26.7984619140625,1.99808931350708
18,3.422702443389901e-06,75707.64084339142,1268.1192626953125,24.267301559448242,75584.734375,24.30487632751465,2.7371954917907715,43.2628288269043,26.36703872680664,1.9672274589538574
19,1.609427140540686e-06,73669.14831590652,1240.68798828125,23.84186363220215,73547.828125,24.0615177154541,2.7259485721588135,42.654388427734375,26.088092803955078,1.9483797550201416
20,1e-06,72582.76015305519,1225.9954833984375,23.614768981933594,72462.3046875,23.925945281982422,2.719740867614746,42.32411575317383,25.932762145996094,1.9381325244903564
